,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
recipes_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,,,,,,,5,,,,2,4,,,,,,,,,,,,2,,4,,,,,,
2,5,2,,,,,,,,,,,,2,3,,,,,,5,,,,,,,,,,3,,,4
3,3,4,5,,,,,,,,,,5,,,,,,,,,3,3,,,,,,,,,,,
4,5,5,,5,5,,,,,,,,5,,,,,,,,,,,5,,,,,,,,,,
5,5,,,,,,,,5,,,,,,,,,,5,,4,,,,,,,,3,,3,2,5,5
6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,3
7,5,,,2,,,,,,,,5,5,,,5,,,,,,5,5,,,,,,,,,,,4
8,4,,5,,,,,,,5,,,,5,,,,,,,,,3,,,,5,5,,,,,,
9,5,,5,,,,,,,,,,5,,,5,,,,,,,,,,,,5,4,,,,,
10,4,,4,,,,,4,,,,,5,,5,,,,,,,4,5,,,,,,5,,,,,
11,5,4,5,,,,,,,,,,,5,,4,,,,,,,,,,,,,,,,,,3
12,5,,5,,,,,5,,,,,,3,5,,,,,,,,5,,,,,,,,,,,
13,4,,,,,,5,,,,,,4,,4,,,,,,,4,3,,,,,,,,,,,
14,5,4,5,,5,,,,,,,,5,,,,,,,,,,,5,,,,,,,,,,
15,5,,5,5,,,,,,,,,5,4,,,,,,,,,,,,,,5,,,,,,
16,4,,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,5,,5,5,4
17,4,4,4,,5,,,,,,,,4,,,,,,,,,,,4,,,,,,,,,,
18,5,,5,,,,,,,,,,5,5,,,,,,,5,,,,5,,,,,,,,,
19,,5,,,,5,,,5,,,,,,5,4,,,,,5,5,3,5,5,,,,,,,,,
20,,5,,,5,,,,,,,,,4,,,,,,,,,4,5,,,,,,,3,,4,5
21,,4,,,3,,,3,,,4,,3,,,,,,,2,3,,,3,,4,,4,1,,,1,,
22,,4,,,,,4,,4,,,,,,,,,,3,,,5,,5,,,,,,,,,,
